dataset,encoder,scaling,l2_lambda,test_acc,r_corr,train_time_sec,peak_mem_mb
sst,affine,10.0,0.0,0.8165842943437671,-0.13608324290125062,8.184412717819214,1152.21484375
sst,affine,10.0,0.0001,0.8176825919824272,-0.12629147290402248,7.275460958480835,1160.3359375
sst,affine,10.0,0.001,0.8198791872597474,-0.1644604952010684,8.818366527557373,1160.34375
sst,affine,10.0,0.01,0.7682591982427238,-0.7364968891229036,11.260932445526123,1160.34765625
sst,affine,20.0,0.0,0.8077979132344866,-0.23019775958191901,8.848808288574219,1160.34765625
sst,affine,20.0,0.0001,0.8072487644151565,-0.3088754231191741,7.682413339614868,1160.3515625
sst,affine,20.0,0.001,0.8165842943437671,-0.2885949691978736,9.984764814376831,1160.3515625
sst,affine,20.0,0.01,0.7561779242174629,-0.7277876195869128,10.486371040344238,1160.3515625
20news,affine,10.0,0.0,0.5047476261869065,0.31947446405307384,50.41683745384216,1409.3515625
20news,affine,10.0,0.0001,0.5032483758120939,0.2225826946597833,82.14222693443298,1411.75390625
20news,affine,10.0,0.001,0.5037481259370314,0.3463718824552437,63.29505181312561,1410.6875
20news,affine,10.0,0.01,0.5002498750624688,0.26012573621056784,88.46141266822815,1410.7421875
20news,affine,20.0,0.0,0.5037481259370314,0.3856851394977137,80.42480301856995,1410.6953125
20news,affine,20.0,0.0001,0.504247876061969,-0.11960439166996878,56.71749520301819,1410.640625
20news,affine,20.0,0.001,0.5052473763118441,0.22533866993757964,101.48788976669312,1410.73046875
20news,affine,20.0,0.01,0.5022488755622189,-0.49955038251034006,113.92731642723083,1410.765625
