dataset,encoder,scaling,l2_lambda,test_acc,r_corr,train_time_sec,peak_mem_mb
sst,lstm,0.001,0.0,0.7935200439319056,-0.027734075669681925,6.410946846008301,1194.6796875
sst,lstm,1.0,0.0,0.8160351455244371,0.2831818879951151,4.205265522003174,1202.70703125
sst,lstm,10.0,0.0,0.8028555738605162,0.25664539840891,3.610989809036255,1202.734375
sst,lstm,20.0,0.0,0.8116419549697969,0.1524741337886236,4.142039060592651,1202.75390625
sst,lstm,50.0,0.0,0.7984623833058759,-0.19580552885408836,6.918370485305786,1202.76171875
sst,lstm,100.0,0.0,0.8094453596924767,0.09427905780172127,4.428843021392822,1202.76953125
sst,lstm,10000.0,0.0,0.8066996155958265,0.03407837846829875,5.904484272003174,1202.76953125
sst,affine,0.001,0.0,0.7023613399231191,-0.12278524315953585,3.225208282470703,1202.78515625
sst,affine,1.0,0.0,0.8061504667764964,-0.0390025797255202,4.618122100830078,1202.78515625
sst,affine,10.0,0.0,0.8099945085118067,-0.1370520769678902,7.098837375640869,1202.78515625
sst,affine,20.0,0.0,0.8176825919824272,-0.13543570105541616,7.431798934936523,1203.62890625
sst,affine,50.0,0.0,0.8220757825370676,-0.1510019331294415,10.845355033874512,1203.64453125
sst,affine,100.0,0.0,0.8182317408017573,-0.34188754116732795,12.196867227554321,1203.64453125
sst,affine,10000.0,0.0,0.8017572762218561,-0.1382259038276794,9.988633394241333,1202.66015625
imdb,lstm,0.001,0.0,0.82604,-0.04803951360942135,46.1207218170166,1487.79296875
imdb,lstm,1.0,0.0,0.827,-0.12162988033579408,66.6128032207489,1525.77734375
imdb,lstm,10.0,0.0,0.82748,-0.41903650158145667,61.98290967941284,1525.1875
imdb,lstm,20.0,0.0,0.82648,-0.17940349099685599,62.322354316711426,1525.2109375
imdb,lstm,50.0,0.0,0.83308,-0.32586544944022533,56.03616905212402,1525.21875
imdb,lstm,100.0,0.0,0.83624,-0.7033339481209545,49.3538236618042,1525.1796875
imdb,lstm,10000.0,0.0,0.83744,-0.8095519278692314,56.33792209625244,1525.234375
imdb,affine,0.001,0.0,0.74384,-0.034046784672801624,66.08268761634827,1525.14453125
imdb,affine,1.0,0.0,0.85708,-0.12151953564077043,93.24575185775757,1525.140625
imdb,affine,10.0,0.0,0.86188,-0.5271602506895058,144.91851162910461,1525.140625
imdb,affine,20.0,0.0,0.85464,-0.787763019279549,155.01252460479736,1525.140625
imdb,affine,50.0,0.0,0.8576,-0.800209571718839,118.53977680206299,1525.1171875
imdb,affine,100.0,0.0,0.85028,-0.8784519214524467,153.5708441734314,1525.1171875
imdb,affine,10000.0,0.0,0.85848,-0.9783363126205895,154.69236969947815,1525.1328125
20news,lstm,0.001,0.0,0.49525237381309345,-0.05344602361327678,98.44708943367004,1481.64453125
20news,lstm,1.0,0.0,0.49075462268865566,-0.005958262340089329,183.74328136444092,1507.078125
20news,lstm,10.0,0.0,0.495752123938031,0.10639595445521816,203.4329228401184,1507.078125
20news,lstm,20.0,0.0,0.49225387306346824,-0.28755659656199417,200.71000456809998,1508.0
20news,lstm,50.0,0.0,0.49325337331334335,-0.1045204428452291,201.09128856658936,1507.078125
20news,lstm,100.0,0.0,0.4962518740629685,-0.274534706780744,200.58080887794495,1507.078125
20news,lstm,10000.0,0.0,0.4452773613193403,-0.24290650784462078,200.83650493621826,1507.078125
20news,affine,0.001,0.0,0.49025487256371814,-0.15457537195454163,154.63397932052612,1507.078125
20news,affine,1.0,0.0,0.504247876061969,-0.23701466730237666,35.414133071899414,1507.078125
20news,affine,10.0,0.0,0.504247876061969,-0.030908666682648384,83.30052256584167,1507.078125
20news,affine,20.0,0.0,0.5037481259370314,0.01261268460644497,47.51823139190674,1507.078125
20news,affine,50.0,0.0,0.5047476261869065,-0.4812377460159628,58.90106177330017,1507.078125
20news,affine,100.0,0.0,0.5022488755622189,-0.02245397143937984,65.88835954666138,1507.078125
20news,affine,10000.0,0.0,0.49775112443778113,-0.16575718607565826,177.06528091430664,1507.078125
